datetime;W
20160101:0055;0
20160101:0155;0
20160101:0255;0
20160101:0355;0
20160101:0455;0
20160101:0555;0
20160101:0655;0
20160101:0755;0
20160101:0855;2468,86
20160101:0955;4131,28
20160101:1055;4472,78
20160101:1155;5437,22
20160101:1255;5732,76
20160101:1355;2549,93
20160101:1455;1106,1
20160101:1555;0
20160101:1655;0
20160101:1755;0
20160101:1855;0
20160101:1955;0
20160101:2055;0
20160101:2155;0
20160101:2255;0
20160101:2355;0
20160102:0055;0
20160102:0155;0
20160102:0255;0
20160102:0355;0
20160102:0455;0
20160102:0555;0
20160102:0655;0
20160102:0755;0
20160102:0855;3874,17
20160102:0955;6811,49
20160102:1055;5282,63
20160102:1155;6197,34
20160102:1255;7530,67
20160102:1355;6776,32
20160102:1455;2317,64
20160102:1555;0
20160102:1655;0
20160102:1755;0
20160102:1855;0
20160102:1955;0
20160102:2055;0
20160102:2155;0
20160102:2255;0
20160102:2355;0
20160103:0055;0
20160103:0155;0
20160103:0255;0
20160103:0355;0
20160103:0455;0
20160103:0555;0
20160103:0655;0
20160103:0755;0
20160103:0855;1978,8
20160103:0955;694,55
20160103:1055;4758,77
20160103:1155;4381,53
20160103:1255;2853,19
20160103:1355;1241,01
20160103:1455;981,28
20160103:1555;0
20160103:1655;0
20160103:1755;0
20160103:1855;0
20160103:1955;0
20160103:2055;0
20160103:2155;0
20160103:2255;0
20160103:2355;0
20160104:0055;0
20160104:0155;0
20160104:0255;0
20160104:0355;0
20160104:0455;0
20160104:0555;0
20160104:0655;0
20160104:0755;0
20160104:0855;3989,81
20160104:0955;9011,86
20160104:1055;9374,61
20160104:1155;14632,13
20160104:1255;14151,96
20160104:1355;9713,59
20160104:1455;3853,3
20160104:1555;0
20160104:1655;0
20160104:1755;0
20160104:1855;0
20160104:1955;0
20160104:2055;0
20160104:2155;0
20160104:2255;0
20160104:2355;0
20160105:0055;0
20160105:0155;0
20160105:0255;0
20160105:0355;0