Date;Time;W
29/05/2019;00:00;9000
29/05/2019;00:10;11000
29/05/2019;00:20;11000
29/05/2019;00:30;10000
29/05/2019;00:40;10000
29/05/2019;00:50;11000
29/05/2019;01:00;10000
29/05/2019;01:10;12000
29/05/2019;01:20;11000
29/05/2019;01:30;11000
29/05/2019;01:40;11000
29/05/2019;01:50;11000
29/05/2019;02:00;11000
29/05/2019;02:10;12000
29/05/2019;02:20;11000
29/05/2019;02:30;12000
29/05/2019;02:40;11000
29/05/2019;02:50;13000
29/05/2019;03:00;11000
29/05/2019;03:10;12000
29/05/2019;03:20;11000
29/05/2019;03:30;12000
29/05/2019;03:40;12000
29/05/2019;03:50;13000
29/05/2019;04:00;14000
29/05/2019;04:10;13000
29/05/2019;04:20;12000
29/05/2019;04:30;14000
29/05/2019;04:40;12000
29/05/2019;04:50;12000
29/05/2019;05:00;12000
29/05/2019;05:10;14000
29/05/2019;05:20;12000
29/05/2019;05:30;12000
29/05/2019;05:40;13000
29/05/2019;05:50;13000
29/05/2019;06:00;13000
29/05/2019;06:10;12000
29/05/2019;06:20;13000
29/05/2019;06:30;12000
29/05/2019;06:40;13000
29/05/2019;06:50;13000
29/05/2019;07:00;14000
29/05/2019;07:10;14000
29/05/2019;07:20;16000
29/05/2019;07:30;17000
29/05/2019;07:40;16000
29/05/2019;07:50;18000
29/05/2019;08:00;18000
29/05/2019;08:10;20000
29/05/2019;08:20;16000
29/05/2019;08:30;18000
29/05/2019;08:40;19000
29/05/2019;08:50;19000
29/05/2019;09:00;18000
29/05/2019;09:10;15000
29/05/2019;09:20;18000
29/05/2019;09:30;16000
29/05/2019;09:40;15000
29/05/2019;09:50;15000
29/05/2019;10:00;17000
29/05/2019;10:10;15000
29/05/2019;10:20;13000
29/05/2019;10:30;12000
29/05/2019;10:40;14000
29/05/2019;10:50;11000
29/05/2019;11:00;13000
29/05/2019;11:10;11000
29/05/2019;11:20;14000
29/05/2019;11:30;11000
29/05/2019;11:40;12000
29/05/2019;11:50;10000
29/05/2019;12:00;12000
29/05/2019;12:10;7000
29/05/2019;12:20;9000
29/05/2019;12:30;8000
29/05/2019;12:40;8000
29/05/2019;12:50;10000
29/05/2019;13:00;9000
29/05/2019;13:10;9000
29/05/2019;13:20;13000
29/05/2019;13:30;12000
29/05/2019;13:40;13000
29/05/2019;13:50;11000
29/05/2019;14:00;11000
29/05/2019;14:10;11000
29/05/2019;14:20;9000
29/05/2019;14:30;12000
29/05/2019;14:40;10000
29/05/2019;14:50;11000
29/05/2019;15:00;10000
29/05/2019;15:10;11000
29/05/2019;15:20;10000
29/05/2019;15:30;10000
29/05/2019;15:40;11000
29/05/2019;15:50;11000
29/05/2019;16:00;10000
29/05/2019;16:10;12000
29/05/2019;16:20;11000
29/05/2019;16:30;16000