Horodate;Wh
2019-12-31T23:30:00+01:00;6620.0
2019-12-31T23:00:00+01:00;6739.0
2019-12-31T22:30:00+01:00;6800.0
2019-12-31T22:00:00+01:00;6860.0
2019-12-31T21:30:00+01:00;6637.0
2019-12-31T21:00:00+01:00;6732.0
2019-12-31T20:30:00+01:00;6887.0
2019-12-31T20:00:00+01:00;7049.0
2019-12-31T19:30:00+01:00;7273.0
2019-12-31T19:00:00+01:00;7453.0
2019-12-31T18:30:00+01:00;7674.0
2019-12-31T18:00:00+01:00;7994.0
2019-12-31T17:30:00+01:00;8373.0
2019-12-31T17:00:00+01:00;8452.0
2019-12-31T16:30:00+01:00;8530.0
2019-12-31T16:00:00+01:00;8655.0
2019-12-31T15:30:00+01:00;8827.0
2019-12-31T15:00:00+01:00;8988.0
2019-12-31T14:30:00+01:00;9172.0
2019-12-31T14:00:00+01:00;9356.0
2019-12-31T13:30:00+01:00;9390.0
2019-12-31T13:00:00+01:00;9469.0
2019-12-31T12:30:00+01:00;9652.0
2019-12-31T12:00:00+01:00;9998.0
2019-12-31T11:30:00+01:00;10359.0
2019-12-31T11:00:00+01:00;10543.0
2019-12-31T10:30:00+01:00;10626.0
2019-12-31T10:00:00+01:00;10615.0
2019-12-31T09:30:00+01:00;10481.0
2019-12-31T09:00:00+01:00;10276.0
2019-12-31T08:30:00+01:00;9890.0
2019-12-31T08:00:00+01:00;9470.0
2019-12-31T07:30:00+01:00;8850.0
2019-12-31T07:00:00+01:00;8312.0
2019-12-31T06:30:00+01:00;7683.0
2019-12-31T06:00:00+01:00;7254.0
2019-12-31T05:30:00+01:00;6951.0
2019-12-31T05:00:00+01:00;6774.0
2019-12-31T04:30:00+01:00;6579.0
2019-12-31T04:00:00+01:00;6496.0
2019-12-31T03:30:00+01:00;6420.0
2019-12-31T03:00:00+01:00;6406.0
2019-12-31T02:30:00+01:00;6368.0
2019-12-31T02:00:00+01:00;6364.0
2019-12-31T01:30:00+01:00;6376.0
2019-12-31T01:00:00+01:00;6400.0
2019-12-31T00:30:00+01:00;6436.0
2019-12-31T00:00:00+01:00;6499.0
2019-12-30T23:30:00+01:00;6572.0
2019-12-30T23:00:00+01:00;6698.0
2019-12-30T22:30:00+01:00;6825.0
2019-12-30T22:00:00+01:00;6961.0
2019-12-30T21:30:00+01:00;6819.0
2019-12-30T21:00:00+01:00;6986.0
2019-12-30T20:30:00+01:00;7223.0
2019-12-30T20:00:00+01:00;7514.0
2019-12-30T19:30:00+01:00;7939.0
2019-12-30T19:00:00+01:00;8411.0
2019-12-30T18:30:00+01:00;8801.0
2019-12-30T18:00:00+01:00;8935.0
2019-12-30T17:30:00+01:00;9025.0
2019-12-30T17:00:00+01:00;8920.0
2019-12-30T16:30:00+01:00;8782.0
2019-12-30T16:00:00+01:00;8762.0
2019-12-30T15:30:00+01:00;8806.0
2019-12-30T15:00:00+01:00;8931.0
2019-12-30T14:30:00+01:00;9089.0
2019-12-30T14:00:00+01:00;9238.0
2019-12-30T13:30:00+01:00;9230.0
2019-12-30T13:00:00+01:00;9292.0
2019-12-30T12:30:00+01:00;9443.0
2019-12-30T12:00:00+01:00;9784.0
2019-12-30T11:30:00+01:00;10113.0
2019-12-30T11:00:00+01:00;10317.0
2019-12-30T10:30:00+01:00;10425.0
2019-12-30T10:00:00+01:00;10447.0
2019-12-30T09:30:00+01:00;10344.0
2019-12-30T09:00:00+01:00;10156.0
2019-12-30T08:30:00+01:00;9745.0
2019-12-30T08:00:00+01:00;9319.0
2019-12-30T07:30:00+01:00;8711.0
2019-12-30T07:00:00+01:00;8156.0
2019-12-30T06:30:00+01:00;7511.0
2019-12-30T06:00:00+01:00;7085.0
2019-12-30T05:30:00+01:00;6801.0
2019-12-30T05:00:00+01:00;6631.0
2019-12-30T04:30:00+01:00;6447.0
2019-12-30T04:00:00+01:00;6358.0
2019-12-30T03:30:00+01:00;6260.0
2019-12-30T03:00:00+01:00;6246.0
2019-12-30T02:30:00+01:00;6193.0
2019-12-30T02:00:00+01:00;6201.0
2019-12-30T01:30:00+01:00;6198.0
2019-12-30T01:00:00+01:00;6226.0
2019-12-30T00:30:00+01:00;6265.0
2019-12-30T00:00:00+01:00;6339.0
2019-12-29T23:30:00+01:00;6382.0
2019-12-29T23:00:00+01:00;6479.0
2019-12-29T22:30:00+01:00;6550.0
2019-12-29T22:00:00+01:00;6657.0